tweet,gold_reply,intent
", my iphone keeps shutting down and won't charge past 1%... it only started today. It's an iphone 7 with the newest software update... I've shut it down several times but still have the same issue... can you help me? :)","Thanks for reaching out. We know how important battery-life is, and we'd like to help. What's your current iOS version?",charging_issue
Anyone else with a Gen 1 Apple Watch notice battery life drop off significantly since the update? #iWatch,We'll be more than happy to look into it for you. About how long (in hours) does the battery last on the Apple Watch?,battery_issue
can we please get the charging status back on Apple Watch OS 4? It s hard to see if my watch is charging or no when on charger,We'd love to help! This article can help with checking the status of the charge: DM us for more help.,charging_issue
"Bin ich der einzige, bei dem die #Mail App seit dem letzten #iOS #Update heftig h ngt? #iPhoneSE",We offer support via Twitter in English. Contact us for help in your preferred language here:,software_update
Downloaded the latest iTunes and it now doesn't sync with my work iPhone.... shambles,We d like to learn more about this issue. What s happening when you sync your iPhone to iTunes? Do you see a message prompt?,icloud_sync
your iOS 11.0.2. Update won t allow iPhone users to login to App Store #iOS11 #ios11update #iosproblems,We're happy to help with the App Store. What happens currently when you attempt to login? Do you receive an error message?,apple_id_login
BEWARE SOME FUCKERS ARE HACKING APPLE ID ACCOUNTS!!!! THEY JUST STOLE $35 FROM ME!,We know that can be distressing. We'd want to get you in touch with our iTunes Store support here:,apple_id_login
"Hey , I'm getting real tired of charging my phone 4 times a day.",Let's look into your iPhone charging issues. Which version of iOS are you running in Settings > General > About?,charging_issue
I tried. Still not working. I read some tweets from other people saying the app store is down,Can you let us know what version of iOS 11 you have installed exactly? DM us and we'll continue there.,app_store
"Hey , your new update for the iPhone is horrific. Idk what it s doing to my phone.",We sure would like to know more about what you're experiencing so we can get things resolved. Please DM us.,software_update
I WANT EITHER my money back or update the correct music to my Mississippi Mass Choir.,We appreciate the time you've taken to reach out to us. Take a look here to report an iTunes issue:,billing_refund
please fix the glitch or bring the new update please #AppleStore,"We'd like to see how we can help. Can you give us a few more details about what you're experiencing? If you prefer, DM us here:",software_update
battery expansion...am I gonna lose a hand? #scared,Thank you for reaching out. Please DM us and we will continue from there.,battery_issue
"I thought I was the only one! what is this? Every time a new iPhone comes out, the old ones start messing up, y all not slick.",Thanks for reaching out. We have a workaround for this here: DM us if you still need help.,device_setup
"sooooo my iPhone won't turn back on, and its been sitting on a charger for 5 hours...",We'd like to help! Send us a DM with the country that you are located in to continue.,charging_issue
What have you done to the keyboard on the iPad as a result of latest IOS update. Everything has moved. It s HORRIBLE! Pls fix it!,"We can look into this with you. To begin, use the link in this message to DM us, and we ll take if from there.",software_update
"can't call again - my phone has apparently died, and not from lack of battery life. v upset that i have had to waste all this time trying to make my phone work. it's gonna be a long night.",Can you please send us a DM and we will look into this together?,battery_issue
"Is this acceptable #ios11 performance on #iphone6 ? In just 26 mins of Twitter use, lamenting on this mess, my battery used up 31%? And the repeated charging of a fast depleting battery is just further wrecking total battery lifespan, right? So it s a double whammy!","Battery performance can depend on a variety of factors beyond the app being used, such as the type of data being used, signal strength and screen brightness to name a few. We've received your DM, look for our message so we can investigate further there.",charging_issue
why the fuck does the app store say im in canada,"Let's look into this together. To start, which device are you experiencing this on, and which software version is it running?",app_store
Can help me.. I don t want to use PayPal anymore but I don t have a credit card to log into and I don t haves None option -_-,We'd like to help. There are various reasons as to why the None option isn't available. Check out the information here: DM us if you have further questions.,billing_refund
"#ios11 App Store continues downloading the app infinitely!!!! Very frustrating!!! Nothing happens, just loading!!!",Let's get this resolved. Have you tried using both Wi-Fi and Cellular data? Let us know in DM.,app_store
Rubbish customer service from . 5th time contacting them over two weeks and still no charger. How difficult is it? I didn't pay for extra apple care for this!,We'd like to look into this with you to see how we can help. Connect with us in DM to get started:,charging_issue
I think I'm talking about iCloud Drive? Not entirely sure. Let's continue this conversation via DM.,"Sure thing, we'd be happy to chat with you in greater detail. You can reach out to us via DM here:",icloud_sync
Something really wrong with iOS 11.0.3. I dint use phone as the battery monitor states.,We appreciate you reaching out. Let's look into this battery usage together. DM us with more details and we'll go from there.,battery_issue
"since updating to ios11 non Apple Bluetooth devices dropsout or keeps disconnecting, doing a restore doesn t help either",We'll be happy to assist as best we can. Are you running iOS 11.0.3 which was released earlier this week?,device_setup
