tweet,intent,gold_reply,escalate,reason
my imessage is not syncing with my mac. It was working fine until today. Have updated both my iphone and macbook to the latest iOS,icloud_sync,"We're glad to help. Are you signed in to both device using the same Apple ID? Also, are both device connected to Wi-Fi?",AUTO,High confidence icloud sync (0.90) with standard resolution path
"hi apple, is the email address really from apple or just phishing email?",account_security,"Hi, we can certainly provide you with some details. Meet us in DM and we'll go from there.",ESCALATE,High-risk intent 'account_security' requires specialist intervention
with iOS 11.0.3 on iPhone 6s the Battery life still sucks. Fix it now!,battery_issue,You're in good hands. Let's look into this issue with your battery together. Join us in DM with more information.,AUTO,High confidence battery issue (0.90) with standard resolution path
Someone please teach me how to cancel a subscription on my iPhone! I ve called so many times is robbing me of 15 dollars per month,billing_refund,This article will show you how you can cancel a subscription:,ESCALATE,High-risk intent 'billing_refund' requires specialist intervention
"i can't back up to icloud because space not enough, but i make sure to you that my IOS is 11.1.2",icloud_sync,You can also back up to iTunes if you don't have iCloud storage. Let us know once you've updated to iOS 11.2 in DM if you have additional concerns.,AUTO,High confidence icloud sync (0.90) with standard resolution path
I need ur help to activate my lost iPhone 5; which i found a few days ago. I tried to restore with itune; Bit tune not worked,account_security,We'd love to help in any way we can. What happens when you try to restore in iTunes? Are you getting an error message?,ESCALATE,High-risk intent 'account_security' requires specialist intervention
I was charged for a subscription that I canceled the same day I accepted the free trails why was I charged?,billing_refund,"If you are seeing an unexpected charge, you can get help with that here:",ESCALATE,High-risk intent 'billing_refund' requires specialist intervention
"When having headphones plugged in Siri constantly starts, music starts without even touching the phone.",charging_issue,We'd be happy to assist with your phone today. Send us a DM to get started.,AUTO,High confidence charging issue (0.90) with standard resolution path
My MacBook has been hacked by someone in Kaluga and I'm permanently locked out LOL WTF plz help me,account_security,Let s team up on this situation. Could you let us know more details via a DM? We ll move forward from there.,ESCALATE,High-risk intent 'account_security' requires specialist intervention
"tries to transfer data to my iPhone X, but because I was a beta tester on my 7 Plus it won't let me download the backup onto the X. How y'all gonna do me dirty like that I need my pix",device_setup,Congratulations on your new iPhone X! We'll be glad to look into this with you. Please DM us.,AUTO,High confidence device setup (0.90) with standard resolution path
Hey my iCloud mail is getting hammered with spam. Did you turn off filters? Under attack? LMK.,icloud_sync,Hey there. We'd love to help. Have you checked out this article:,AUTO,High confidence icloud sync (0.90) with standard resolution path
"No when I restart, it tries to install it. It gets stuck on 36 minutes and then that picture pops up. I am connected to WiFi. And this is the download from the App Store. I ve never had issues before",app_store,"Do you have access to another Wi-Fi network we can try downloading and installing the update over? Also, do you have a Time Machine backup? We ask as we want to be sure your data is secure before advising on further steps. Please DM us:",AUTO,High confidence app store (0.90) with standard resolution path
Its GREY that means Bluetooth is on but not connected. And I can t even show you cuz the damned system won t even do that now??? Oh god,device_setup,We'd like to take a further look at this with you. Please meet us in DM to continue.,AUTO,High confidence device setup (0.90) with standard resolution path
I hate this stupid ass update has my phone acting dumb really about to switch to Android,software_update,"We're here for you! Send us a DM with your iPhone's current iOS version, and we'll take a closer look at the issues you're experiencing there.",AUTO,High confidence software update (0.90) with standard resolution path
why does my battery drain 65% in 7 hrs when not in use?I could go 2 days w/o charging now I have to charge 3 times a day.....,charging_issue,"We can take a look at this together, if you'd like. Meet us in DM and we'll get started. Thanks.",AUTO,High confidence charging issue (0.90) with standard resolution path
"I cant even write a word without the app lagging and crashing. The keyboard keeps lagging as well ,my phone got worse with this new update",software_update,We don't like to hear you're not able to use Messages. What iOS version do you have? See Settings > General > About,AUTO,High confidence software update (0.90) with standard resolution path
