tweet,intent,gold_reply,escalate,reason,human_correctness,human_helpfulness,human_brand_tone,human_groundedness,human_average_score
"iPhone 7, 11.1. the phone doesn't seem to be charging half the time when it's plugged in.",charging_issue,"We know how important it is to be able to charge your iPhone, and we want to help. Let's start by trying the steps here: Please let us know if you're still having trouble charging.",AUTO,High confidence charging issue (0.90) with standard resolution path,5,5,5,5,5.0
"I cant even write a word without the app lagging and crashing. The keyboard keeps lagging as well ,my phone got worse with this new update",software_update,We don't like to hear you're not able to use Messages. What iOS version do you have? See Settings > General > About,AUTO,High confidence software update (0.90) with standard resolution path,4,4,5,5,4.5
My airpods were working fine yesterday and then when i went to go listen to music on then today there was no light on the inside of the case and they didn t connect to my phone I ve had these for just over 1 month,device_setup,Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together.,AUTO,High confidence device setup (0.90) with standard resolution path,5,4,5,5,4.75
"hey I am getting issues with iOS 11.0.1 can t share pdf, battery is getting drained very fast",battery_issue,We'd like to gather some more information for better troubleshooting. Can you DM us the country you are located in?,AUTO,High confidence battery issue (0.90) with standard resolution path,5,5,4,5,4.75
How my phone dying while it's on the charger???,charging_issue,That's certainly not what we would expect. We'll be happy to assist as best we can. When did this start happening?,AUTO,High confidence charging issue (0.90) with standard resolution path,4,4,5,4,4.25
How do I get a refund on the iCloud? It says I can get a refund within 15 days.,billing_refund,Hi there! Our iTunes Store team would be happy to look into this with you. Reach out to them here:,ESCALATE,High-risk intent 'billing_refund' requires specialist intervention,5,5,5,5,5.0
"Soo .. Wassup with this update? The app store doesn t work correctly and it keeps asking me to sign over, and over, and over.. well .. you get it..fix it please .. thank you .. This 8 Plus costs too much to be having these issues",app_store,We'd be happy to assist with your App Store today. Send us a DM to get started.,AUTO,High confidence app store (0.90) with standard resolution path,5,4,5,5,4.75
Completely locked out. I can remember my username and password. I can't remember the answers I gave to these security questions. Locked out and sent back to start with only 'forgot password' option. Total road block. Total loss of user control over my ID.,apple_id_login,We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance.,AUTO,High confidence apple id login (0.90) with standard resolution path,4,4,4,5,4.25
"where is the ""show as busy"" setting in MacOS Sierra's calendar?",software_update,"Great question. When you create a new event, you sill see the option when clicking on the date or time.",AUTO,High confidence software update (0.90) with standard resolution path,5,5,5,5,5.0
why is my iPhone 8 Plus battery literally lasting like 3 hours?,battery_issue,We'd be happy to assist with your battery today. Send us a DM to get started.,AUTO,High confidence battery issue (0.90) with standard resolution path,5,5,5,5,5.0
